Yetus,YETUS-495,Jenkins report shouldn't include -1 for compile report without the patch
Yetus,YETUS-489,checkstyle.sh does not support checkstyle 6.14 or upper
Yetus,YETUS-484,Fixing bug when checkstyle runs on multiple modules
Yetus,YETUS-476,Replace docker's time handler with awk
Yetus,YETUS-472,Exclude src/test/java from findbugs source folders by default
Yetus,YETUS-470,user_plugin directory is not copied over properly.
Yetus,YETUS-469,running docker as root fails.
Yetus,YETUS-467,"Update hbase personality after YETUS-322 ""flip verify_ result codes"""
Yetus,YETUS-465,findbugs should not -1 if base branch has warnings when the patch fixes them
Yetus,YETUS-463,Enable yarn-ui profile in Yetus's precommit logic
Yetus,YETUS-460,RDM should handle connection reset by peer
Yetus,YETUS-457,RDM does not properly escape entities
Yetus,YETUS-456,Typos in documentation
Yetus,YETUS-448,Fix the docs for supported python versions
Yetus,YETUS-447,invalid byte in cut
Yetus,YETUS-446,releasedocmaker not handling 0 version in a range correctly?
Yetus,YETUS-443,github pull request regular expression in the jira plugin should be more complete
Yetus,YETUS-442,JIRA plugin will not fallback to normal patch if it fails to find a github pull
Yetus,YETUS-438,Minor issues on newly added sections in releasedocmaker document
Yetus,YETUS-437,TOCs are broken in some documents
Yetus,YETUS-433,releasedocmaker generates empty index and readme for non-semver versioning
Yetus,YETUS-429,"Yetus Jenkins page has broken link to ""docs on providing patches"""
Yetus,YETUS-426,Parser error on specifying just -V
Yetus,YETUS-420,Hadoop post commit failure due to Docker unable to build image
Yetus,YETUS-419,releasedocmaker should retry when the connection fails
Yetus,YETUS-414,ctest logs are really broken
Yetus,YETUS-409,"Some fixes and improvements for ""Cleanup"" section in ""Managing a Release"" document"
Yetus,YETUS-407,DOAP is broken
Yetus,YETUS-405,Minor typo for python-dateutil package
Yetus,YETUS-404,build.sh fails if python-dateutil is not installed
Yetus,YETUS-403,hadoop personality needs better handling of homebrew
Yetus,YETUS-394,Minor fixes to contributor guide and website
Yetus,YETUS-393,docker check fails for 1.10+
Yetus,YETUS-391,test-patch regards git 1.7.1x is lower than 1.7.3
Yetus,YETUS-388,test-patch fails when no maven found
Yetus,YETUS-380,"""Release Notes"" button doesn't appear immediately in some cases"
Yetus,YETUS-377,clean up whitespace
Yetus,YETUS-370,multiple compile test types confuse later runs
Yetus,YETUS-366,Wrapper script generated by build.sh doesn't work if the user is in the same location and executes it with a relative path
Yetus,YETUS-363,releasedocmaker fails due to the lack of dateutil module
Yetus,YETUS-359,shellcheck needs UTF-8 protection
Yetus,YETUS-345,mvn dependency dupe fix broke hadoop
Yetus,YETUS-341,docker cleanup in sentinel mode doesn't know about Created
Yetus,YETUS-338,test-patch may not update patchfile in patchdir
Yetus,YETUS-336,javadoc plugin giving conflicting answers on pass/fail
Yetus,YETUS-335,switch Yetus Dockerfile to use ruby 2.0
Yetus,YETUS-334,mvn dependency ordering generates duplicates
Yetus,YETUS-322,flip verify_ result codes
Yetus,YETUS-319,broken links on contrib page
Yetus,YETUS-309,pylint plugin false positives
Yetus,YETUS-304,Documentation-only patch should not compile Java code
Yetus,YETUS-303,better sorting options for releasedocmaker
Yetus,YETUS-299,RAT exclusions must include symlinks for 0.1.0 release
Yetus,YETUS-298,precommit jira plugin will try to download deleted attachments
Yetus,YETUS-297,"when verify_multijdk_test is no, use JAVA_HOME, not JDK_DIR_LIST"
Yetus,YETUS-290,reference to another function in calcdiffs' description is wrong
Yetus,YETUS-286,"The native build randomly fails with ""failed to map segment from shared object"""
Yetus,YETUS-284,maven dependency solver needs enhancements
Yetus,YETUS-275,removing files(?) causes pylint file open failures
Yetus,YETUS-271,findbugs.sh will -1 if there are no java source code in the module.
Yetus,YETUS-270,precommit javadoc warning is confusing
Yetus,YETUS-269,"In docker mode, git version check isn't needed prior to relaunching"
Yetus,YETUS-267,use curl -L when given a patch URL
Yetus,YETUS-265,maven javadocs aren't calcdiff'd correctly
Yetus,YETUS-264,Patches for KMS should test kms-server in precommit as well
Yetus,YETUS-262,hadoop: don't run findbugs in hadoop-project
Yetus,YETUS-261,docs include precommit build customization that doesn't exist
Yetus,YETUS-260,distclean step is not working
Yetus,YETUS-258,build.sh should detect missing third party dependecies and suggest how to install
Yetus,YETUS-252,"'Max memory used' is unexplained, "
