"YETUS-220" "The copy code doesn t know about the version file and the code that reads it expects it to appear outside of where the copy code would normally put it " " This might be fixed in the tar ball release but we should still make it work from a source checkout "
"FLINK-1206" "null" "null"
"CASSANDRA-11915" "This patch just corrected the section number opcode detail is described in Section " " Committed as f f ce fe acec c b d ee cb to and merged with an trunk thanks "
"XERCESJ-874" "The error reported is Error on line of document http www w org TR voicexml synthesis core xsd InvalidRegex Pattern value is not a valid regular expression The reported error was is an invalid character range Write I guess this is thrown from the first character group and this goes against that quote in the XML Schema Part W C Recommendation dated May quote The character is a valid character range only at the beginning or end of a positive character group quote " " This line was removed by the erratum E the rationale being that this line contradicts production therefore this pattern is actually invalid This problem appears to have been fixed in the schema for VoiceXML currently at http www w org TR voicexml synthesis core xsd http www w org xmlschema errata E "
"CASSANDRA-10897" "In AbstractBTreePartition toString which PartitionUpdate extends we iterate over the rows in the partition This triggers maybeBuild in the PartitionUpdate If the PartitionUpdate gets updated after the toString call it will result in an IllegalStateException with the message An update should not be written again once it has been read " " Patch and pending CI runs branch testall dtest CASSANDRA testall dtest CASSANDRA trunk testall dtest "
"SHINDIG-968" "In java gadgets src test java org apache shindig gadgets GadgetFeatureRegistryTest java line you see the following code List String deps Lists newLinkedList if deps null " " Small patch "
"ODE-1030" "WAR JBI distributions of have JARs in their lib directory that don t contain Java class files Instead there are files with html extension Because auf that when testing the examples sendsoap fails with a ClassNotFoundException i e the instructions in section Examples of WAR deployment don t work with the release Version on the other hand works as expected " " Thanks for reporting Is this a dupe of ODE "
"FLUME-2592" "flume tools is missing main manifest attribute which causes the failure to launch flume tools Running it results in following errorbash java jar flume tools SNAPSHOT jar h no main manifest attribute in flume tools SNAPSHOT jarThe help option printed also misses the jar to be used usage java jar fcintegritytool h l arg h help Display help l dataDirs arg Comma separated list of data directories which the tool must verify This option is mandatory" " Looked at the code tool can be run from flume ng script The help message needs to be fixed Options are either we point it to use the flume ng script or can leave it to run as standalone file by modifying pom xml painful with classpath settings and all Hari Shreedharan Roshan Naik Suggestions on fixing this "
"SM-1295" "When using BinaryFileMarshaler with FtpPoller File not found excelption It seems to be looking for the file on the local server rather than ftp location java io FileNotFoundException dnbusr ks control Input txt The system cannot find the path specified at java io FileInputStream open Native Method at java io FileInputStream init FileInputStream java at javax activation FileDataSource getInputStream FileDataSource java at javax activation DataHandler getInputStream DataHandler java Code responsible for the problem are the following lines in BinaryFileMarshaler public void readMessage MessageExchange exchange NormalizedMessage message InputStream in String path throws IOException JBIException " " Lars explicitely changed that a few weeks ago http fisheye cenqua com browse servicemix smx trunk core servicemix core src main java org apache servicemix components util BinaryFileMarshaler java r r I don t recall exactly what was the probem Lars "
"IVY-441" "If you intend to publish an artifact on or more configurations and you use the character as configurations separator in conf attribute of publications artifact element ivy simply continues and publish nothing but ivy xml No jars are published The correct separator is character so separator should cause ivy to fail or at least warn Example not working ivy xml published only ivy xml ivy module version info organisation ivy bug module test proj revision configurations conf name compile transitive false conf name runtime configurations publications artifact name test proj type jar conf compile runtime publications ivy module Working ivy xml publishes also jar ivy module version info organisation ivy bug module test proj revision configurations conf name compile transitive false conf name runtime configurations publications artifact name test proj type jar conf compile runtime publications ivy module " " This should be fixed in SVN "
"CAMEL-9166" "Changes in Camel cause properties prefixing to not work for Camel context ID See notes in https github com apache camel commit aa cec c d f ae bd fabbaa Also backward compatibility to is removed See note in https github com apache camel commit c b e ae da ca e e acc fd ae " " GitHub user yuruki opened a pull request https github com apache camel pull CAMEL Some functionality broken in Camel https issues apache org jira browse CAMEL You can merge this pull request into a Git repository by running git pull https github com yuruki camel camel scr test Alternatively you can review and apply these changes as the patch at https github com apache camel pull patch To close this pull request make a commit to your master trunk branch with at least the following in the commit message This closes commit fcb ebbdb cc ed c f c d f c Author Jyrki Ruuskanen yuruki kotikone fi Date T Z Camel "
